Timestamp,ID,X,Y,Depth,Emotion,Gaze,Note
2025-07-02T12:53:43.015985,3,36,204,0,,Unknown,
2025-07-02T12:53:43.015985,6,38,133,0,Unknown,Unknown,
2025-07-02T12:53:43.972134,1,323,163,1175,Unknown,Center,
2025-07-02T12:53:43.972134,3,36,204,0,,Unknown,
2025-07-02T12:53:43.972134,6,38,126,0,Unknown,Unknown,
2025-07-02T12:53:44.921698,1,322,162,490,Unknown,Center,
2025-07-02T12:53:44.921698,3,36,204,0,,Unknown,
2025-07-02T12:53:44.921698,6,39,118,0,Unknown,Unknown,
2025-07-02T12:53:46.078561,1,372,182,923,,Center,
2025-07-02T12:53:46.078561,3,35,204,0,,Center,
2025-07-02T12:53:46.078561,6,39,111,0,Unknown,Unknown,
2025-07-02T12:53:47.128490,1,371,176,702,,Center,
2025-07-02T12:53:47.128490,3,35,204,0,,Unknown,
2025-07-02T12:53:47.128490,6,40,104,0,Unknown,Unknown,
2025-07-02T12:53:48.416799,1,378,172,719,,Center,
2025-07-02T12:53:48.416799,3,35,204,0,,Center,
2025-07-02T12:53:48.416799,6,41,204,0,,Center,
2025-07-02T12:53:49.875963,1,376,174,732,,Center,
2025-07-02T12:53:49.891619,3,35,204,0,,Center,
2025-07-02T12:53:49.891619,6,42,207,0,,Center,
2025-07-02T12:53:50.994917,1,380,174,928,,Center,
2025-07-02T12:53:50.994917,3,34,204,0,,Unknown,
2025-07-02T12:53:50.994917,6,42,209,0,,Unknown,
2025-07-02T12:53:52.176438,1,379,174,931,,Center,
2025-07-02T12:53:52.176438,3,34,204,0,,Center,
2025-07-02T12:53:52.182962,6,43,212,0,,Unknown,
2025-07-02T12:53:53.333223,1,307,168,952,,Center,
2025-07-02T12:53:53.888159,3,34,204,1800,,Center,
2025-07-02T12:53:54.490002,6,44,215,1828,,Unknown,
2025-07-02T12:53:56.273343,1,292,162,993,neutral,Center,
2025-07-02T12:53:56.273343,3,34,204,0,,Center,
2025-07-02T12:53:56.828276,6,44,217,1719,,Unknown,
2025-07-02T12:53:57.947196,1,347,161,993,,Center,
2025-07-02T12:53:57.947196,3,34,204,0,,Unknown,
2025-07-02T12:53:57.947196,6,45,220,0,,Unknown,
2025-07-02T12:53:59.266673,1,364,158,984,,Center,
2025-07-02T12:53:59.266673,3,34,204,0,,Center,
2025-07-02T12:53:59.868512,6,45,223,1001,,Unknown,
2025-07-02T12:54:01.125533,1,373,166,962,,Center,
2025-07-02T12:54:01.125533,3,34,204,0,,Center,
2025-07-02T12:54:01.727329,6,46,226,936,,Unknown,
2025-07-02T12:54:02.993450,1,378,171,936,,Center,
2025-07-02T12:54:03.009077,3,34,204,0,,Center,
2025-07-02T12:54:03.617375,6,47,228,976,,Unknown,
2025-07-02T12:54:04.250436,18,99,200,1037,,Unknown,
2025-07-02T12:54:06.271933,1,381,169,939,neutral,Center,
2025-07-02T12:54:06.271933,3,34,204,0,,Center,
2025-07-02T12:54:06.904974,6,47,230,933,,Unknown,
2025-07-02T12:54:07.544610,18,98,197,987,,Unknown,
2025-07-02T12:54:08.864041,1,380,168,941,,Center,
2025-07-02T12:54:08.864041,3,34,204,0,,Center,
2025-07-02T12:54:09.512759,6,48,233,987,,Unknown,
2025-07-02T12:54:11.110433,18,100,190,1047,,Unknown,
2025-07-02T12:54:12.636952,1,380,168,939,,Center,
2025-07-02T12:54:12.643486,3,34,204,0,,Center,
2025-07-02T12:54:13.307821,6,48,236,984,,Unknown,
2025-07-02T12:54:13.978721,18,99,192,1047,,Unknown,
2025-07-02T12:54:15.398573,1,377,169,952,,Center,
2025-07-02T12:54:15.414198,3,34,204,0,,Center,
2025-07-02T12:54:16.100773,6,49,239,1086,,Center,
2025-07-02T12:54:16.802884,18,94,196,1125,,Unknown,
2025-07-02T12:54:18.137987,1,379,170,939,,Center,
2025-07-02T12:54:18.137987,3,33,204,0,,Center,
2025-07-02T12:54:19.021477,6,50,241,970,,Unknown,
2025-07-02T12:54:20.065356,18,99,195,1034,,Unknown,
2025-07-02T12:54:23.994534,1,376,172,946,,Center,
2025-07-02T12:54:23.994534,3,33,204,0,,Center,
2025-07-02T12:54:25.649537,6,50,244,981,,Unknown,
2025-07-02T12:54:26.401543,18,104,195,1047,,Unknown,
2025-07-02T12:54:28.077765,1,377,172,933,,Center,
2025-07-02T12:54:28.077765,3,33,204,0,,Center,
2025-07-02T12:54:31.097714,6,51,247,990,,Unknown,
2025-07-02T12:54:31.152564,18,105,205,1040,,Unknown,
2025-07-02T12:54:32.833948,1,375,173,954,,Center,
2025-07-02T12:54:32.833948,3,33,204,0,,Center,
2025-07-02T12:54:32.849578,6,52,249,987,,Unknown,
2025-07-02T12:54:33.620337,18,107,198,1044,,Unknown,
2025-07-02T12:54:34.291187,1,381,169,939,,Center,
2025-07-02T12:54:34.291187,3,33,204,0,,Center,
2025-07-02T12:54:35.092861,6,52,252,1007,,Unknown,
2025-07-02T12:54:35.139752,18,103,201,1053,,Unknown,
2025-07-02T12:54:35.857466,1,382,167,941,,Center,
2025-07-02T12:54:35.873092,3,33,204,0,,Center,
2025-07-02T12:54:35.888721,6,53,255,993,,Unknown,
2025-07-02T12:54:36.728966,18,103,207,1040,,Unknown,
2025-07-02T12:54:37.399819,1,381,166,946,,Center,
2025-07-02T12:54:37.399819,3,33,204,0,,Center,
2025-07-02T12:54:37.431082,6,53,258,995,,Unknown,
2025-07-02T12:54:38.280090,18,104,203,1047,,Unknown,
2025-07-02T12:54:39.869404,1,382,167,944,,Center,
2025-07-02T12:54:39.869404,3,33,204,0,,Center,
2025-07-02T12:54:40.671860,6,54,260,973,,Unknown,
2025-07-02T12:54:41.474282,18,103,206,1016,,Unknown,
2025-07-02T12:54:42.878628,1,381,170,939,,Left,
2025-07-02T12:54:42.878628,3,33,204,0,,Center,
2025-07-02T12:54:43.681126,6,54,263,976,,Unknown,
2025-07-02T12:54:44.499279,18,102,204,1031,,Unknown,
2025-07-02T12:54:45.903543,1,383,170,944,,Center,
2025-07-02T12:54:45.903543,3,33,204,0,,Center,
2025-07-02T12:54:46.775082,6,55,266,897,,Unknown,
2025-07-02T12:54:47.646601,18,83,190,939,,Unknown,
2025-07-02T12:54:50.216841,1,383,168,939,neutral,Center,
2025-07-02T12:54:50.232448,3,33,204,0,,Center,
2025-07-02T12:54:51.103975,6,55,268,890,,Unknown,
2025-07-02T12:54:51.126286,18,81,200,909,Unknown,Unknown,
2025-07-02T12:54:52.794787,1,382,171,941,,Center,
2025-07-02T12:54:52.794787,3,33,204,0,,Center,
2025-07-02T12:54:53.692619,6,56,271,888,,Unknown,
2025-07-02T12:54:54.637905,18,81,212,902,Unknown,Unknown,
2025-07-02T12:54:57.805391,1,383,167,946,neutral,Center,
2025-07-02T12:54:57.805391,3,33,204,0,,Center,
2025-07-02T12:54:58.811978,6,57,274,907,,Unknown,
2025-07-02T12:54:59.768177,18,80,213,919,Unknown,Unknown,
2025-07-02T12:55:02.376133,1,383,171,941,neutral,Center,
2025-07-02T12:55:02.376133,3,33,204,0,,Center,
2025-07-02T12:55:03.325784,6,58,277,926,,Unknown,
2025-07-02T12:55:04.266329,18,75,213,933,Unknown,Unknown,
2025-07-02T12:55:07.174582,1,383,169,939,neutral,Center,
2025-07-02T12:55:07.174582,3,33,204,0,,Center,
2025-07-02T12:55:08.208978,6,58,279,909,,Unknown,
2025-07-02T12:55:09.164846,18,77,207,911,Unknown,Unknown,
2025-07-02T12:55:10.847863,1,383,166,944,,Center,
2025-07-02T12:55:11.788480,6,59,281,916,,Center,
2025-07-02T12:55:12.753800,18,73,214,911,Unknown,Unknown,
2025-07-02T12:55:15.406458,1,381,170,936,neutral,Center,
2025-07-02T12:55:16.356030,6,59,284,921,,Center,
2025-07-02T12:55:16.379525,18,76,210,921,Unknown,Unknown,
2025-07-02T12:55:18.094282,1,382,172,941,,Center,
2025-07-02T12:55:19.066053,18,82,211,931,Unknown,Center,
2025-07-02T12:55:21.790004,1,376,175,933,neutral,Center,
2025-07-02T12:55:22.808734,18,80,207,923,Unknown,Center,
2025-07-02T12:55:24.467062,1,379,172,952,,Center,
2025-07-02T12:55:25.501389,18,75,215,914,Unknown,Center,
2025-07-02T12:55:27.191011,1,378,162,1001,,Center,
2025-07-02T12:55:28.225406,18,76,223,904,Unknown,Center,
2025-07-02T12:55:29.926389,1,379,158,995,neutral,Center,
2025-07-02T12:55:31.007907,18,74,216,907,Unknown,Center,
2025-07-02T12:55:32.666232,1,379,157,993,,Center,
2025-07-02T12:55:32.689726,18,74,209,909,Unknown,Center,
2025-07-02T12:55:34.371291,1,377,158,1001,,Center,
2025-07-02T12:55:35.390014,18,74,213,904,Unknown,Center,
2025-07-02T12:55:37.183877,1,374,159,1010,,Center,
2025-07-02T12:55:38.240431,18,70,224,916,Unknown,Center,
2025-07-02T12:55:39.945694,1,378,158,993,,Center,
2025-07-02T12:55:40.995658,18,83,216,886,,Center,
